C,epsilon,error_ma,error_ms,Actual Values,Predctied values
3000,0.2,0.06620980848001068,0.004383738738959694,[174.512],[174.44579019]
3000,0.2,0.7295459917896494,0.5322373541363432,[174.641],[173.91145401]
2000,0.3,4.655267700324146,21.67151736168126,[179.7],[175.0447323]
3000,0.2,1.2384873380812564,1.5338508865875964,[174.407],[175.64548734]
3000,0.1,2.2152164356258766,4.907183856667014,[178.284],[176.06878356]
3000,0.2,1.4292187793444384,2.0426663192308063,[174.512],[173.08278122]
2000,0.2,1.4137787101736592,1.9987702413402955,[187.78],[186.36622129]
3000,0.1,0.6010330290832258,0.3612407020489577,[185.811],[186.41203303]
3000,0.2,0.8408362745283853,0.707005640562774,[188.41],[187.56916373]
3000,0.1,0.8780036456716402,0.7708904018126912,[187.23],[186.35199635]
3000,0.1,0.9804349599874911,0.9612527107656732,[187.02],[186.03956504]
3000,0.2,3.4201147616468006,11.697184982834353,[187.99],[184.56988524]
3000,0.1,1.58997638233879,2.5280248963951464,[189.62],[191.20997638]
3000,0.2,2.3048803410997607,5.312473386788149,[192.05],[189.74511966]
3000,0.1,0.6680769056976601,0.44632675192656024,[188.3],[188.96807691]
3000,0.1,1.620007236031995,2.624423444796024,[185.263],[183.64299276]
3000,0.1,0.9341246636961387,0.8725888873254242,[192.3],[191.36587534]
1000,0.2,4.414864930717471,19.49103235647898,[185.48],[189.89486493]
3000,0.1,0.9851046430487145,0.9704311577561352,[190.87],[189.88489536]
4000,0.5,6.948987797199095,48.28843140562193,[182.34],[189.2889878]
3000,0.2,2.5462689220149173,6.483485423219009,[185.64],[188.18626892]
3000,0.2,0.6187907945113977,0.38290204737204686,[187.02],[187.63879079]
3000,0.1,4.079481550300017,16.642169719238225,[191.59],[187.51051845]
3000,0.1,5.1156773252117205,26.170154495685342,[191.59],[186.47432267]
3000,0.2,0.3126421085736695,0.09774508805339013,[196.714],[196.40135789]
3000,0.2,1.2688957354706076,1.6100963874954943,[192.434],[193.70289574]
3000,0.2,0.9681147488576585,0.9372461669557272,[192.434],[191.46588525]
3000,0.2,0.03505410873182768,0.0012287905389827978,[192.434],[192.46905411]
3000,0.2,5.46317977189392,29.8463332200309,[192.434],[197.89717977]
3000,0.3,3.692334540499445,13.633334358965248,[192.434],[196.12633454]
